Contract_ID,Origination_Date,Client_Industry,Equipment_Category,Asset_Cost_INR,Down_Payment_INR,Financed_Amount_INR,Tenure_Months,Interest_Rate_Pct,Client_Credit_Score,Athena_Risk_Score,Athena_Recommendation,Loan_Status
EQF-2025-00001,01-01-2025,Healthcare,Surgical Robot,13200000,1320000,11880000,36,9.33,641,70.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00002,01-01-2025,IT & Enterprise Tech,Automated Storage Array,5117000,511700,4605300,48,12.53,771,59.4,STRUCTURED_LEASE,Performing
EQF-2025-00003,01-01-2025,Logistics & Fleet,Forklift Fleet,4833000,1208250,3624750,60,10.28,660,80.5,REJECT,Performing
EQF-2025-00004,01-01-2025,Construction,Tower Crane,8435000,843500,7591500,48,12.44,642,82.1,REJECT,Performing
EQF-2025-00005,01-01-2025,Manufacturing,Injection Molding Press,2954000,590800,2363200,36,8.06,713,63.3,STRUCTURED_LEASE,Performing
EQF-2025-00006,01-01-2025,Manufacturing,CNC Milling Unit,1642000,328400,1313600,48,9,779,48.1,STRUCTURED_LEASE,Performing
EQF-2025-00007,01-01-2025,Manufacturing,Injection Molding Press,4856000,1214000,3642000,48,10.84,739,68.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00008,01-01-2025,IT & Enterprise Tech,Enterprise Server Rack,3471000,867750,2603250,48,10.38,673,77.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00009,01-01-2025,Construction,Bulldozer,4542000,681300,3860700,36,9.48,683,66.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00010,01-01-2025,Logistics & Fleet,Forklift Fleet,1674000,167400,1506600,48,7.89,622,77.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00011,01-01-2025,Manufacturing,CNC Milling Unit,5603000,840450,4762550,24,7,835,20,AUTO_APPROVE,Performing
EQF-2025-00012,01-01-2025,IT & Enterprise Tech,Automated Storage Array,4774000,477400,4296600,48,9.17,810,44.3,STRUCTURED_LEASE,Performing
EQF-2025-00013,01-01-2025,Logistics & Fleet,Forklift Fleet,4974000,497400,4476600,60,9.23,728,67,REQUIRE_COLLATERAL,Performing
EQF-2025-00014,01-01-2025,Manufacturing,Injection Molding Press,6808000,1702000,5106000,36,9.69,709,58.9,STRUCTURED_LEASE,Performing
EQF-2025-00015,01-01-2025,Manufacturing,Industrial Robotic Arm,7055000,1058250,5996750,36,7.33,636,68,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00016,01-01-2025,Manufacturing,CNC Milling Unit,5815000,872250,4942750,48,8.18,700,68.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00017,02-01-2025,Healthcare,Surgical Robot,14845000,1484500,13360500,48,10.09,767,58.6,STRUCTURED_LEASE,Performing
EQF-2025-00018,02-01-2025,Construction,Hydraulic Excavator,7940000,794000,7146000,36,10.38,757,50,STRUCTURED_LEASE,Performing
EQF-2025-00019,02-01-2025,Healthcare,MRI Scanner,13463000,3365750,10097250,48,9.8,680,72.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00020,02-01-2025,Healthcare,MRI Scanner,14404000,2880800,11523200,60,8.98,762,59.7,STRUCTURED_LEASE,Performing
EQF-2025-00021,02-01-2025,Construction,Bulldozer,10404000,1560600,8843400,48,7.72,785,40.2,STRUCTURED_LEASE,Performing
EQF-2025-00022,02-01-2025,Manufacturing,Injection Molding Press,4170000,625500,3544500,48,10.93,712,64.4,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00023,02-01-2025,Healthcare,MRI Scanner,4865000,1216250,3648750,36,10.59,773,55.1,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00024,02-01-2025,Healthcare,Digital X-Ray System,5891000,1472750,4418250,60,8.64,817,39.8,AUTO_APPROVE,Performing
EQF-2025-00025,02-01-2025,Construction,Hydraulic Excavator,3003000,450450,2552550,36,10.75,834,38.3,AUTO_APPROVE,Performing
EQF-2025-00026,02-01-2025,Logistics & Fleet,Electric Delivery Van,1601000,240150,1360850,36,9.4,670,71.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00027,02-01-2025,Manufacturing,CNC Milling Unit,2793000,279300,2513700,36,8.48,738,48.1,STRUCTURED_LEASE,Performing
EQF-2025-00028,02-01-2025,Construction,Hydraulic Excavator,5399000,1079800,4319200,48,10.89,755,64.2,STRUCTURED_LEASE,Performing
