Client_ID,Client_Industry,Client_Credit_Score
CUST-00001,Healthcare,641
CUST-00002,IT & Enterprise Tech,771
CUST-00003,Logistics & Fleet,660
CUST-00004,Construction,642
CUST-00005,Manufacturing,713
CUST-00006,Manufacturing,779
CUST-00007,Manufacturing,739
CUST-00008,IT & Enterprise Tech,673
CUST-00009,Construction,683
CUST-00010,Logistics & Fleet,622
CUST-00011,Manufacturing,835
CUST-00012,IT & Enterprise Tech,810
CUST-00013,Logistics & Fleet,728
CUST-00014,Manufacturing,709
CUST-00015,Manufacturing,636
CUST-00016,Manufacturing,700
CUST-00017,Healthcare,767
CUST-00018,Construction,757
CUST-00019,Healthcare,680
CUST-00020,Healthcare,762
CUST-00021,Construction,785
CUST-00022,Manufacturing,712
CUST-00023,Healthcare,773
CUST-00024,Healthcare,817
CUST-00025,Construction,834
CUST-00026,Logistics & Fleet,670
CUST-00027,Manufacturing,738
CUST-00028,Construction,755
CUST-00029,Construction,708
CUST-00030,Manufacturing,790
CUST-00031,Construction,713
CUST-00032,Manufacturing,700
CUST-00033,Manufacturing,624
CUST-00034,IT & Enterprise Tech,600
CUST-00035,IT & Enterprise Tech,687
CUST-00036,Logistics & Fleet,550
CUST-00037,Healthcare,790
CUST-00038,Manufacturing,767
CUST-00039,Logistics & Fleet,754
CUST-00040,Healthcare,782
CUST-00041,Manufacturing,692
CUST-00042,Construction,724
CUST-00043,Manufacturing,685
CUST-00044,IT & Enterprise Tech,782
CUST-00045,Healthcare,550
CUST-00046,Logistics & Fleet,782
CUST-00047,Healthcare,591
CUST-00048,Construction,696
CUST-00049,Construction,641
CUST-00050,Manufacturing,701
CUST-00051,IT & Enterprise Tech,674
CUST-00052,Logistics & Fleet,684
CUST-00053,IT & Enterprise Tech,745
CUST-00054,IT & Enterprise Tech,724
CUST-00055,Construction,774
CUST-00056,IT & Enterprise Tech,737
CUST-00057,Manufacturing,606
CUST-00058,Manufacturing,850
CUST-00059,Manufacturing,580
CUST-00060,Healthcare,730
CUST-00061,Healthcare,757
CUST-00062,Healthcare,729
CUST-00063,Logistics & Fleet,696
CUST-00064,Healthcare,806
CUST-00065,Healthcare,783
CUST-00066,Construction,708
CUST-00067,Manufacturing,680
CUST-00068,Logistics & Fleet,656
CUST-00069,Manufacturing,662
CUST-00070,IT & Enterprise Tech,706
CUST-00071,Logistics & Fleet,602
CUST-00072,Manufacturing,709
CUST-00073,Manufacturing,762
CUST-00074,Logistics & Fleet,673
CUST-00075,Logistics & Fleet,708
CUST-00076,Logistics & Fleet,729
CUST-00077,Logistics & Fleet,741
CUST-00078,Manufacturing,696
CUST-00079,Healthcare,824
CUST-00080,Manufacturing,710
CUST-00081,IT & Enterprise Tech,623
CUST-00082,Construction,684
CUST-00083,Healthcare,794
CUST-00084,Manufacturing,789
CUST-00085,Healthcare,598
CUST-00086,Healthcare,690
CUST-00087,Logistics & Fleet,675
CUST-00088,Construction,760
CUST-00089,IT & Enterprise Tech,636
CUST-00090,Construction,811
CUST-00091,Manufacturing,614
CUST-00092,Logistics & Fleet,700
CUST-00093,Logistics & Fleet,631
CUST-00094,Construction,752
CUST-00095,Logistics & Fleet,576
CUST-00096,Construction,698
CUST-00097,Construction,697
CUST-00098,Healthcare,651
CUST-00099,Manufacturing,789
CUST-00100,Manufacturing,820
CUST-00101,Manufacturing,683
CUST-00102,Construction,718
CUST-00103,Healthcare,669
CUST-00104,Construction,627
CUST-00105,IT & Enterprise Tech,637
CUST-00106,Manufacturing,639
CUST-00107,Healthcare,791
CUST-00108,Logistics & Fleet,737
CUST-00109,Manufacturing,648
CUST-00110,Manufacturing,653
CUST-00111,Healthcare,645
CUST-00112,Manufacturing,587
CUST-00113,IT & Enterprise Tech,743
CUST-00114,Logistics & Fleet,701
CUST-00115,Construction,821
CUST-00116,IT & Enterprise Tech,574
CUST-00117,Logistics & Fleet,765
CUST-00118,Manufacturing,770
CUST-00119,IT & Enterprise Tech,779
CUST-00120,Construction,725
CUST-00121,Logistics & Fleet,769
CUST-00122,IT & Enterprise Tech,729
CUST-00123,Healthcare,661
CUST-00124,Manufacturing,683
CUST-00125,Manufacturing,682
CUST-00126,Healthcare,785
CUST-00127,Logistics & Fleet,793
CUST-00128,IT & Enterprise Tech,762
CUST-00129,Manufacturing,713
CUST-00130,Construction,576
CUST-00131,Healthcare,763
CUST-00132,Manufacturing,760
CUST-00133,Manufacturing,728
CUST-00134,Healthcare,741
CUST-00135,IT & Enterprise Tech,657
CUST-00136,Healthcare,687
CUST-00137,Construction,656
CUST-00138,Logistics & Fleet,699
CUST-00139,Healthcare,767
CUST-00140,IT & Enterprise Tech,738
CUST-00141,IT & Enterprise Tech,642
