Contract_ID,Client_ID,Equipment_ID,Origination_Date,Asset_Cost_INR,Down_Payment_INR,Financed_Amount_INR,Tenure_Months,Interest_Rate_Pct,Athena_Risk_Score,Athena_Recommendation,Loan_Status
EQF-2025-00001,CUST-00001,EQ-001,01-01-2025,13200000,1320000,11880000,36,9.33,70.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00002,CUST-00002,EQ-002,01-01-2025,5117000,511700,4605300,48,12.53,59.4,STRUCTURED_LEASE,Performing
EQF-2025-00003,CUST-00003,EQ-003,01-01-2025,4833000,1208250,3624750,60,10.28,80.5,REJECT,Performing
EQF-2025-00004,CUST-00004,EQ-004,01-01-2025,8435000,843500,7591500,48,12.44,82.1,REJECT,Performing
EQF-2025-00005,CUST-00005,EQ-005,01-01-2025,2954000,590800,2363200,36,8.06,63.3,STRUCTURED_LEASE,Performing
EQF-2025-00006,CUST-00006,EQ-006,01-01-2025,1642000,328400,1313600,48,9,48.1,STRUCTURED_LEASE,Performing
EQF-2025-00007,CUST-00007,EQ-005,01-01-2025,4856000,1214000,3642000,48,10.84,68.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00008,CUST-00008,EQ-007,01-01-2025,3471000,867750,2603250,48,10.38,77.2,REQUIRE_COLLATERAL,Performing
EQF-2025-00009,CUST-00009,EQ-008,01-01-2025,4542000,681300,3860700,36,9.48,66.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00010,CUST-00010,EQ-003,01-01-2025,1674000,167400,1506600,48,7.89,77.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00011,CUST-00011,EQ-006,01-01-2025,5603000,840450,4762550,24,7,20,AUTO_APPROVE,Performing
EQF-2025-00012,CUST-00012,EQ-002,01-01-2025,4774000,477400,4296600,48,9.17,44.3,STRUCTURED_LEASE,Performing
EQF-2025-00013,CUST-00013,EQ-003,01-01-2025,4974000,497400,4476600,60,9.23,67,REQUIRE_COLLATERAL,Performing
EQF-2025-00014,CUST-00014,EQ-005,01-01-2025,6808000,1702000,5106000,36,9.69,58.9,STRUCTURED_LEASE,Performing
EQF-2025-00015,CUST-00015,EQ-009,01-01-2025,7055000,1058250,5996750,36,7.33,68,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00016,CUST-00016,EQ-006,01-01-2025,5815000,872250,4942750,48,8.18,68.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00017,CUST-00017,EQ-001,02-01-2025,14845000,1484500,13360500,48,10.09,58.6,STRUCTURED_LEASE,Performing
EQF-2025-00018,CUST-00018,EQ-010,02-01-2025,7940000,794000,7146000,36,10.38,50,STRUCTURED_LEASE,Performing
EQF-2025-00019,CUST-00019,EQ-011,02-01-2025,13463000,3365750,10097250,48,9.8,72.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00020,CUST-00020,EQ-011,02-01-2025,14404000,2880800,11523200,60,8.98,59.7,STRUCTURED_LEASE,Performing
EQF-2025-00021,CUST-00021,EQ-008,02-01-2025,10404000,1560600,8843400,48,7.72,40.2,STRUCTURED_LEASE,Performing
EQF-2025-00022,CUST-00022,EQ-005,02-01-2025,4170000,625500,3544500,48,10.93,64.4,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00023,CUST-00023,EQ-011,02-01-2025,4865000,1216250,3648750,36,10.59,55.1,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00024,CUST-00024,EQ-012,02-01-2025,5891000,1472750,4418250,60,8.64,39.8,AUTO_APPROVE,Performing
EQF-2025-00025,CUST-00025,EQ-010,02-01-2025,3003000,450450,2552550,36,10.75,38.3,AUTO_APPROVE,Performing
EQF-2025-00026,CUST-00026,EQ-013,02-01-2025,1601000,240150,1360850,36,9.4,71.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00027,CUST-00027,EQ-006,02-01-2025,2793000,279300,2513700,36,8.48,48.1,STRUCTURED_LEASE,Performing
EQF-2025-00028,CUST-00028,EQ-010,02-01-2025,5399000,1079800,4319200,48,10.89,64.2,STRUCTURED_LEASE,Performing
EQF-2025-00029,CUST-00029,EQ-010,02-01-2025,7120000,1068000,6052000,60,9.65,62.7,STRUCTURED_LEASE,30_Days_Past_Due
EQF-2025-00030,CUST-00030,EQ-005,02-01-2025,6482000,1620500,4861500,24,8.86,41.3,STRUCTURED_LEASE,Performing
EQF-2025-00031,CUST-00031,EQ-004,02-01-2025,4293000,429300,3863700,48,7.58,58.9,STRUCTURED_LEASE,Performing
EQF-2025-00032,CUST-00032,EQ-009,02-01-2025,6208000,620800,5587200,48,7.72,64.9,STRUCTURED_LEASE,60_Days_Past_Due
EQF-2025-00033,CUST-00033,EQ-006,03-01-2025,6430000,1607500,4822500,48,10.77,86.6,REJECT,Default
EQF-2025-00034,CUST-00034,EQ-002,03-01-2025,3705000,926250,2778750,48,10.18,86.1,REJECT,Default
EQF-2025-00035,CUST-00035,EQ-002,03-01-2025,5499000,549900,4949100,36,7.75,62.2,STRUCTURED_LEASE,Performing
EQF-2025-00036,CUST-00036,EQ-013,03-01-2025,1622000,405500,1216500,36,7.72,96.2,REJECT,Default
EQF-2025-00037,CUST-00037,EQ-001,03-01-2025,5948000,594800,5353200,60,12.65,57.8,STRUCTURED_LEASE,Performing
EQF-2025-00038,CUST-00038,EQ-009,03-01-2025,4501000,1125250,3375750,36,10.2,49.1,STRUCTURED_LEASE,Performing
EQF-2025-00039,CUST-00039,EQ-013,03-01-2025,1682000,168200,1513800,36,11.31,46.9,STRUCTURED_LEASE,Performing
EQF-2025-00040,CUST-00040,EQ-012,03-01-2025,10229000,1534350,8694650,48,11.74,50.7,STRUCTURED_LEASE,Performing
EQF-2025-00041,CUST-00041,EQ-005,03-01-2025,4289000,643350,3645650,60,8.11,66.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00042,CUST-00042,EQ-004,03-01-2025,4919000,1229750,3689250,48,12.11,73,REQUIRE_COLLATERAL,Performing
EQF-2025-00043,CUST-00043,EQ-009,03-01-2025,2690000,538000,2152000,36,7.88,62.5,STRUCTURED_LEASE,Performing
EQF-2025-00044,CUST-00044,EQ-007,03-01-2025,2544000,381600,2162400,36,10.59,51.6,STRUCTURED_LEASE,Performing
EQF-2025-00045,CUST-00045,EQ-012,03-01-2025,10688000,1068800,9619200,48,9.33,97,REJECT,Performing
EQF-2025-00046,CUST-00046,EQ-013,03-01-2025,3388000,677600,2710400,24,10.59,35.1,AUTO_APPROVE,Performing
EQF-2025-00047,CUST-00047,EQ-011,03-01-2025,5800000,580000,5220000,36,9.18,92.9,REJECT,Default
EQF-2025-00048,CUST-00048,EQ-010,03-01-2025,3562000,356200,3205800,36,10.32,63.5,STRUCTURED_LEASE,Performing
EQF-2025-00049,CUST-00049,EQ-008,04-01-2025,2727000,409050,2317950,48,11.54,90.4,REJECT,Default
EQF-2025-00050,CUST-00050,EQ-009,04-01-2025,1587000,396750,1190250,36,11.18,67.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00051,CUST-00051,EQ-002,04-01-2025,5375000,1343750,4031250,36,9.41,77.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00052,CUST-00052,EQ-003,04-01-2025,1371000,137100,1233900,24,8.07,77.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00053,CUST-00053,EQ-007,04-01-2025,4602000,690300,3911700,24,9.05,52.4,STRUCTURED_LEASE,Performing
EQF-2025-00054,CUST-00054,EQ-002,04-01-2025,5334000,533400,4800600,36,10.17,54.1,STRUCTURED_LEASE,Performing
EQF-2025-00055,CUST-00055,EQ-004,04-01-2025,3333000,666600,2666400,48,10.48,56.9,STRUCTURED_LEASE,Performing
EQF-2025-00056,CUST-00056,EQ-007,04-01-2025,3069000,306900,2762100,48,11.11,65.6,REQUIRE_COLLATERAL,Performing
EQF-2025-00057,CUST-00057,EQ-009,04-01-2025,8236000,1235400,7000600,36,8.4,76.8,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00058,CUST-00058,EQ-009,04-01-2025,7339000,733900,6605100,36,8.1,25.3,AUTO_APPROVE,Performing
EQF-2025-00059,CUST-00059,EQ-006,04-01-2025,4928000,739200,4188800,36,7.97,85.5,REJECT,Default
EQF-2025-00060,CUST-00060,EQ-012,04-01-2025,12388000,3097000,9291000,36,9.2,59.2,STRUCTURED_LEASE,Performing
EQF-2025-00061,CUST-00061,EQ-011,04-01-2025,13167000,1975050,11191950,24,9.82,44.7,STRUCTURED_LEASE,Performing
EQF-2025-00062,CUST-00062,EQ-012,04-01-2025,7828000,1565600,6262400,24,10.05,50.7,STRUCTURED_LEASE,Performing
EQF-2025-00063,CUST-00063,EQ-014,04-01-2025,4590000,688500,3901500,36,7.38,55.1,STRUCTURED_LEASE,Performing
EQF-2025-00064,CUST-00064,EQ-001,04-01-2025,9175000,1835000,7340000,60,8.07,36.1,AUTO_APPROVE,Performing
EQF-2025-00065,CUST-00065,EQ-012,05-01-2025,9806000,1961200,7844800,36,8.45,47.3,STRUCTURED_LEASE,Performing
EQF-2025-00066,CUST-00066,EQ-010,05-01-2025,10998000,1099800,9898200,60,12.14,76.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00067,CUST-00067,EQ-009,05-01-2025,7403000,1480600,5922400,36,8.93,71.8,REQUIRE_COLLATERAL,Performing
EQF-2025-00068,CUST-00068,EQ-013,05-01-2025,2575000,386250,2188750,36,7.28,65.9,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00069,CUST-00069,EQ-009,05-01-2025,1572000,393000,1179000,48,10.07,74.2,REQUIRE_COLLATERAL,30_Days_Past_Due
EQF-2025-00070,CUST-00070,EQ-007,05-01-2025,4056000,608400,3447600,24,9.34,61.1,STRUCTURED_LEASE,Performing
EQF-2025-00071,CUST-00071,EQ-003,05-01-2025,3875000,968750,2906250,36,7.74,86.8,REJECT,Performing
EQF-2025-00072,CUST-00072,EQ-005,05-01-2025,6056000,1211200,4844800,60,8.79,73.3,REQUIRE_COLLATERAL,Performing
EQF-2025-00073,CUST-00073,EQ-005,05-01-2025,8275000,827500,7447500,48,8.99,48,STRUCTURED_LEASE,Performing
EQF-2025-00074,CUST-00074,EQ-014,05-01-2025,4479000,895800,3583200,24,9.32,71.4,REQUIRE_COLLATERAL,Performing
EQF-2025-00075,CUST-00075,EQ-003,05-01-2025,2906000,581200,2324800,24,10.89,69.9,REQUIRE_COLLATERAL,Performing
EQF-2025-00076,CUST-00076,EQ-014,05-01-2025,1439000,359750,1079250,60,10.34,69.5,REQUIRE_COLLATERAL,Performing
EQF-2025-00077,CUST-00077,EQ-013,05-01-2025,3009000,451350,2557650,60,9.69,69.1,REQUIRE_COLLATERAL,Performing
EQF-2025-00078,CUST-00078,EQ-009,05-01-2025,6325000,632500,5692500,36,10.98,71.5,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00079,CUST-00079,EQ-001,05-01-2025,10685000,1068500,9616500,36,8.89,30.5,AUTO_APPROVE,Performing
EQF-2025-00080,CUST-00080,EQ-006,05-01-2025,5267000,526700,4740300,48,8.41,68.4,REQUIRE_COLLATERAL,60_Days_Past_Due
EQF-2025-00081,CUST-00081,EQ-015,06-01-2025,3238000,323800,2914200,36,9.96,84.6,REJECT,60_Days_Past_Due
EQF-2025-00082,CUST-00082,EQ-010,06-01-2025,4997000,749550,4247450,36,9.85,63.9,STRUCTURED_LEASE,30_Days_Past_Due
